Experiment ID,15301,,,,,,,,,,,,,,,,,
Experiment name,220719_csnk1db,,,,,,,,,,,,,,,,,
Job,eb189052-7e40-4056-adb2-1b65e8df6aad,,,,,,,,,,,,,,,,,
Submitted,2020-03-30T15:56:43.569333,Finished,2020-03-30T15:56:47.038949,,,,,,,,,,,,,,,
Method,FFT NLLS,,,,,,,,,,,,,,,,,
Params,no dtr 48.0-max p(18.0-32.0),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Summary statistics,,,,,,,,,,,,,,,,,,
Phase/Amplitude method,by fit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
scr_dmso,20,,25.76,0.86,,4.9,8.18,2.57,5.18,8.7,2.52,,2332,1085,,0.55,0.12,
ko_dmso,20,,27.07,0.98,,2.68,8.12,2.57,3.12,9.26,2.43,,2013,1831,,0.51,0.13,
scr_pf67,0,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,
ko_pf67,0,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,
,,,,,,,,,,,,,,,,,,
Individual Results,,,,,,,,,,,,,,,,,,
Phase/Amplitude method,by fit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data Ref,Data Label,Status,,Period,Period Err,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Err,Abs Phase To Zero,Abs Phase To Window,Abs Phase Err,,Amplitude,Amplitude Err,,GOF,ERR
67. [CB2],ko_pf67,IGNORED,,34.01,0.59,,9.86,23.99,0.93,13.97,33.99,1.31,,3639,526,,0.67,0.16
68. [CC2],ko_pf67,IGNORED,,34.71,1.17,,7.72,22.53,2.11,11.16,32.58,3.06,,1278,208,,0.57,0.16
69. [CD2],ko_pf67,IGNORED,,34.58,0.97,,7.11,21.8,1.84,10.25,31.41,2.66,,10.78,1.291,,0.64,0.12
70. [CE2],ko_pf67,IGNORED,,33.56,0.56,,9.29,22.96,1.1,12.99,32.11,1.54,,3412,261.4,,0.49,0.08
71. [CH2],scr_pf67,IGNORED,,18.46,1.28,,21.84,7.44,7.2,16.8,5.72,5.54,,349.3,203.7,,0.44,0.72
72. [CI2],scr_pf67,IGNORED,,18.77,0.78,,17.38,4,4.75,13.59,3.13,3.72,,937,312,,0.59,0.42
73. [CJ2],scr_pf67,IGNORED,,34.02,0.82,,8.89,23.03,1.57,12.6,32.64,2.23,,1513,169.1,,0.68,0.11
74. [CK2],scr_pf67,IGNORED,,18.78,1.13,,17.35,4.01,7.34,13.58,3.14,5.74,,500,180.1,,0.45,0.78
75. [CL2],scr_pf67,IGNORED,,18.48,0.76,,14.13,23.79,4.34,10.88,18.32,3.34,,427.5,192.5,,0.52,0.43
76. [CM2],ko_pf67,IGNORED,,38.05,1.07,,4.63,22.35,1.72,7.34,35.44,2.72,,2477,255,,0.6,0.1
77. [CN2],ko_pf67,IGNORED,,31.33,0.81,,11.45,22.68,2.03,14.95,29.61,2.65,,3194,408,,0.6,0.13
78. [CO2],ko_pf67,IGNORED,,33.28,0.18,,9.09,22.48,0.64,12.61,31.17,0.88,,2989,329.6,,0.49,0.11
79. [CP2],ko_pf67,IGNORED,,33.02,0.82,,9.51,22.63,2.2,13.09,31.13,3.02,,5.93,1.074,,0.73,0.18
80. [CQ2],ko_pf67,IGNORED,,33.3,1.15,,9.33,22.74,2.32,12.95,31.55,3.21,,4.5,0.79498,,0.79,0.18
